dataset_name,feature_1,feature_2,pearson_correlation,abs_correlation
INDIA_CENSUS_2011,MALE,FEMALE_WORKERS,0.7926,0.7926
INDIA_CENSUS_2011,MALE,CULTIVATOR_WORKERS,0.5541,0.5541
INDIA_CENSUS_2011,MALE,AGRICULTURAL_WORKERS,0.6503,0.6503
INDIA_CENSUS_2011,MALE,HOUSEHOLD_WORKERS,0.6957,0.6957
INDIA_CENSUS_2011,MALE,HINDUS,0.9608,0.9608
INDIA_CENSUS_2011,MALE,MUSLIMS,0.6536,0.6536
INDIA_CENSUS_2011,MALE,CHRISTIANS,0.0756,0.0756
INDIA_CENSUS_2011,MALE,SIKHS,0.005,0.005
INDIA_CENSUS_2011,MALE,BUDDHISTS,0.262,0.262
INDIA_CENSUS_2011,MALE,JAINS,0.4694,0.4694
INDIA_CENSUS_2011,MALE,SECONDARY_EDUCATION,0.8558,0.8558
INDIA_CENSUS_2011,MALE,HIGHER_EDUCATION,0.8574,0.8574
INDIA_CENSUS_2011,MALE,GRADUATE_EDUCATION,0.7928,0.7928
INDIA_CENSUS_2011,MALE,AGE_GROUP_0_29,0.9912,0.9912
INDIA_CENSUS_2011,MALE,AGE_GROUP_30_49,0.9816,0.9816
INDIA_CENSUS_2011,MALE,AGE_GROUP_50,0.9564,0.9564
INDIA_CENSUS_2011,FEMALE,LITERATE,0.9726,0.9726
INDIA_CENSUS_2011,FEMALE,WORKERS,0.9742,0.9742
INDIA_CENSUS_2011,FEMALE,MALE_WORKERS,0.9875,0.9875
INDIA_CENSUS_2011,FEMALE,FEMALE_WORKERS,0.8141,0.8141
INDIA_CENSUS_2011,FEMALE,CULTIVATOR_WORKERS,0.5579,0.5579
INDIA_CENSUS_2011,FEMALE,AGRICULTURAL_WORKERS,0.6718,0.6718
INDIA_CENSUS_2011,FEMALE,HOUSEHOLD_WORKERS,0.7025,0.7025
INDIA_CENSUS_2011,FEMALE,HINDUS,0.9613,0.9613
INDIA_CENSUS_2011,FEMALE,MUSLIMS,0.6527,0.6527
INDIA_CENSUS_2011,FEMALE,CHRISTIANS,0.0991,0.0991
INDIA_CENSUS_2011,FEMALE,SIKHS,-0.0088,0.0088
INDIA_CENSUS_2011,FEMALE,BUDDHISTS,0.2514,0.2514
INDIA_CENSUS_2011,FEMALE,JAINS,0.442,0.442
INDIA_CENSUS_2011,FEMALE,SECONDARY_EDUCATION,0.8592,0.8592
INDIA_CENSUS_2011,FEMALE,HIGHER_EDUCATION,0.8554,0.8554
INDIA_CENSUS_2011,FEMALE,GRADUATE_EDUCATION,0.7892,0.7892
INDIA_CENSUS_2011,FEMALE,AGE_GROUP_0_29,0.9861,0.9861
INDIA_CENSUS_2011,FEMALE,AGE_GROUP_30_49,0.9846,0.9846
INDIA_CENSUS_2011,FEMALE,AGE_GROUP_50,0.9692,0.9692
INDIA_CENSUS_2011,LITERATE,WORKERS,0.9553,0.9553
INDIA_CENSUS_2011,LITERATE,MALE_WORKERS,0.9814,0.9814
INDIA_CENSUS_2011,LITERATE,FEMALE_WORKERS,0.7682,0.7682
INDIA_CENSUS_2011,LITERATE,CULTIVATOR_WORKERS,0.4557,0.4557
INDIA_CENSUS_2011,LITERATE,AGRICULTURAL_WORKERS,0.5483,0.5483
INDIA_CENSUS_2011,LITERATE,HOUSEHOLD_WORKERS,0.661,0.661
INDIA_CENSUS_2011,LITERATE,HINDUS,0.9325,0.9325
INDIA_CENSUS_2011,LITERATE,MUSLIMS,0.6036,0.6036
INDIA_CENSUS_2011,LITERATE,CHRISTIANS,0.1734,0.1734
INDIA_CENSUS_2011,LITERATE,SIKHS,0.0132,0.0132
INDIA_CENSUS_2011,LITERATE,BUDDHISTS,0.3197,0.3197
INDIA_CENSUS_2011,LITERATE,JAINS,0.5201,0.5201
INDIA_CENSUS_2011,LITERATE,SECONDARY_EDUCATION,0.9323,0.9323
INDIA_CENSUS_2011,LITERATE,HIGHER_EDUCATION,0.9248,0.9248
INDIA_CENSUS_2011,LITERATE,GRADUATE_EDUCATION,0.8733,0.8733
INDIA_CENSUS_2011,LITERATE,AGE_GROUP_0_29,0.9368,0.9368
INDIA_CENSUS_2011,LITERATE,AGE_GROUP_30_49,0.9905,0.9905
INDIA_CENSUS_2011,LITERATE,AGE_GROUP_50,0.9748,0.9748
INDIA_CENSUS_2011,WORKERS,MALE_WORKERS,0.983,0.983
INDIA_CENSUS_2011,WORKERS,FEMALE_WORKERS,0.9062,0.9062
INDIA_CENSUS_2011,WORKERS,CULTIVATOR_WORKERS,0.6041,0.6041
INDIA_CENSUS_2011,WORKERS,AGRICULTURAL_WORKERS,0.7033,0.7033
INDIA_CENSUS_2011,WORKERS,HOUSEHOLD_WORKERS,0.6697,0.6697
INDIA_CENSUS_2011,WORKERS,HINDUS,0.9579,0.9579
INDIA_CENSUS_2011,WORKERS,MUSLIMS,0.5595,0.5595
INDIA_CENSUS_2011,WORKERS,CHRISTIANS,0.1014,0.1014
INDIA_CENSUS_2011,WORKERS,SIKHS,-0.0224,0.0224
INDIA_CENSUS_2011,WORKERS,BUDDHISTS,0.2948,0.2948
INDIA_CENSUS_2011,WORKERS,JAINS,0.4839,0.4839
INDIA_CENSUS_2011,WORKERS,SECONDARY_EDUCATION,0.8589,0.8589
INDIA_CENSUS_2011,WORKERS,HIGHER_EDUCATION,0.848,0.848
INDIA_CENSUS_2011,WORKERS,GRADUATE_EDUCATION,0.7915,0.7915
INDIA_CENSUS_2011,WORKERS,AGE_GROUP_0_29,0.9463,0.9463
INDIA_CENSUS_2011,WORKERS,AGE_GROUP_30_49,0.9767,0.9767
INDIA_CENSUS_2011,WORKERS,AGE_GROUP_50,0.9608,0.9608
INDIA_CENSUS_2011,MALE_WORKERS,FEMALE_WORKERS,0.8133,0.8133
INDIA_CENSUS_2011,MALE_WORKERS,CULTIVATOR_WORKERS,0.5268,0.5268
INDIA_CENSUS_2011,MALE_WORKERS,AGRICULTURAL_WORKERS,0.6378,0.6378
INDIA_CENSUS_2011,MALE_WORKERS,HOUSEHOLD_WORKERS,0.6849,0.6849
INDIA_CENSUS_2011,MALE_WORKERS,HINDUS,0.9536,0.9536
INDIA_CENSUS_2011,MALE_WORKERS,MUSLIMS,0.6244,0.6244
INDIA_CENSUS_2011,MALE_WORKERS,CHRISTIANS,0.1038,0.1038
INDIA_CENSUS_2011,MALE_WORKERS,SIKHS,0.0122,0.0122
INDIA_CENSUS_2011,MALE_WORKERS,BUDDHISTS,0.2824,0.2824
INDIA_CENSUS_2011,MALE_WORKERS,JAINS,0.5024,0.5024
INDIA_CENSUS_2011,MALE_WORKERS,SECONDARY_EDUCATION,0.8777,0.8777
INDIA_CENSUS_2011,MALE_WORKERS,HIGHER_EDUCATION,0.8687,0.8687
INDIA_CENSUS_2011,MALE_WORKERS,GRADUATE_EDUCATION,0.8206,0.8206
INDIA_CENSUS_2011,MALE_WORKERS,AGE_GROUP_0_29,0.9655,0.9655
INDIA_CENSUS_2011,MALE_WORKERS,AGE_GROUP_30_49,0.9946,0.9946
INDIA_CENSUS_2011,MALE_WORKERS,AGE_GROUP_50,0.9678,0.9678
INDIA_CENSUS_2011,FEMALE_WORKERS,CULTIVATOR_WORKERS,0.7021,0.7021
INDIA_CENSUS_2011,FEMALE_WORKERS,AGRICULTURAL_WORKERS,0.7607,0.7607
INDIA_CENSUS_2011,FEMALE_WORKERS,HOUSEHOLD_WORKERS,0.5458,0.5458
INDIA_CENSUS_2011,FEMALE_WORKERS,HINDUS,0.8406,0.8406
INDIA_CENSUS_2011,FEMALE_WORKERS,MUSLIMS,0.3355,0.3355
INDIA_CENSUS_2011,FEMALE_WORKERS,CHRISTIANS,0.0824,0.0824
INDIA_CENSUS_2011,FEMALE_WORKERS,SIKHS,-0.0994,0.0994
INDIA_CENSUS_2011,FEMALE_WORKERS,BUDDHISTS,0.2843,0.2843
INDIA_CENSUS_2011,FEMALE_WORKERS,JAINS,0.3769,0.3769
INDIA_CENSUS_2011,FEMALE_WORKERS,SECONDARY_EDUCATION,0.7016,0.7016
INDIA_CENSUS_2011,FEMALE_WORKERS,HIGHER_EDUCATION,0.6876,0.6876
INDIA_CENSUS_2011,FEMALE_WORKERS,GRADUATE_EDUCATION,0.619,0.619
INDIA_CENSUS_2011,FEMALE_WORKERS,AGE_GROUP_0_29,0.7764,0.7764
INDIA_CENSUS_2011,FEMALE_WORKERS,AGE_GROUP_30_49,0.8057,0.8057
INDIA_CENSUS_2011,FEMALE_WORKERS,AGE_GROUP_50,0.817,0.817
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,AGRICULTURAL_WORKERS,0.5417,0.5417
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,HOUSEHOLD_WORKERS,0.3289,0.3289
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,HINDUS,0.6018,0.6018
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,MUSLIMS,0.2489,0.2489
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,CHRISTIANS,-0.1864,0.1864
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,SIKHS,-0.0733,0.0733
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,BUDDHISTS,0.1434,0.1434
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,JAINS,0.2151,0.2151
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,SECONDARY_EDUCATION,0.3239,0.3239
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,HIGHER_EDUCATION,0.3238,0.3238
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,GRADUATE_EDUCATION,0.2153,0.2153
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,AGE_GROUP_0_29,0.5911,0.5911
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,AGE_GROUP_30_49,0.4808,0.4808
INDIA_CENSUS_2011,CULTIVATOR_WORKERS,AGE_GROUP_50,0.5015,0.5015
INDIA_CENSUS_2011,AGRICULTURAL_WORKERS,HOUSEHOLD_WORKERS,0.4768,0.4768
INDIA_CENSUS_2011,AGRICULTURAL_WORKERS,HINDUS,0.6958,0.6958
INDIA_CENSUS_2011,AGRICULTURAL_WORKERS,MUSLIMS,0.3499,0.3499
INDIA_CENSUS_2011,AGRICULTURAL_WORKERS,CHRISTIANS,-0.1164,0.1164
INDIA_CENSUS_2011,AGRICULTURAL_WORKERS,SIKHS,-0.1052,0.1052
INDIA_CENSUS_2011,AGRICULTURAL_WORKERS,BUDDHISTS,0.1336,0.1336
INDIA_CENSUS_2011,AGRICULTURAL_WORKERS,JAINS,0.0373,0.0373
INDIA_CENSUS_2011,AGRICULTURAL_WORKERS,SECONDARY_EDUCATION,0.3766,0.3766
INDIA_CENSUS_2011,AGRICULTURAL_WORKERS,HIGHER_EDUCATION,0.3575,0.3575
INDIA_CENSUS_2011,AGRICULTURAL_WORKERS,GRADUATE_EDUCATION,0.2442,0.2442
INDIA_CENSUS_2011,AGRICULTURAL_WORKERS,AGE_GROUP_0_29,0.6702,0.6702
INDIA_CENSUS_2011,AGRICULTURAL_WORKERS,AGE_GROUP_30_49,0.6154,0.6154
INDIA_CENSUS_2011,AGRICULTURAL_WORKERS,AGE_GROUP_50,0.6407,0.6407
INDIA_CENSUS_2011,HOUSEHOLD_WORKERS,HINDUS,0.626,0.626
INDIA_CENSUS_2011,HOUSEHOLD_WORKERS,MUSLIMS,0.634,0.634
INDIA_CENSUS_2011,HOUSEHOLD_WORKERS,CHRISTIANS,0.0231,0.0231
INDIA_CENSUS_2011,HOUSEHOLD_WORKERS,SIKHS,-0.0117,0.0117
INDIA_CENSUS_2011,HOUSEHOLD_WORKERS,BUDDHISTS,0.0607,0.0607
INDIA_CENSUS_2011,HOUSEHOLD_WORKERS,JAINS,0.1848,0.1848
INDIA_CENSUS_2011,HOUSEHOLD_WORKERS,SECONDARY_EDUCATION,0.5181,0.5181
INDIA_CENSUS_2011,HOUSEHOLD_WORKERS,HIGHER_EDUCATION,0.5296,0.5296
INDIA_CENSUS_2011,HOUSEHOLD_WORKERS,GRADUATE_EDUCATION,0.4741,0.4741
INDIA_CENSUS_2011,HOUSEHOLD_WORKERS,AGE_GROUP_0_29,0.6991,0.6991
INDIA_CENSUS_2011,HOUSEHOLD_WORKERS,AGE_GROUP_30_49,0.6759,0.6759
INDIA_CENSUS_2011,HOUSEHOLD_WORKERS,AGE_GROUP_50,0.6695,0.6695
INDIA_CENSUS_2011,HINDUS,MUSLIMS,0.4619,0.4619
INDIA_CENSUS_2011,HINDUS,CHRISTIANS,0.0153,0.0153
INDIA_CENSUS_2011,HINDUS,SIKHS,-0.094,0.094
INDIA_CENSUS_2011,HINDUS,BUDDHISTS,0.2275,0.2275
INDIA_CENSUS_2011,HINDUS,JAINS,0.444,0.444
INDIA_CENSUS_2011,HINDUS,SECONDARY_EDUCATION,0.8206,0.8206
INDIA_CENSUS_2011,HINDUS,HIGHER_EDUCATION,0.8255,0.8255
INDIA_CENSUS_2011,HINDUS,GRADUATE_EDUCATION,0.77,0.77
INDIA_CENSUS_2011,HINDUS,AGE_GROUP_0_29,0.9495,0.9495
INDIA_CENSUS_2011,HINDUS,AGE_GROUP_30_49,0.9476,0.9476
INDIA_CENSUS_2011,HINDUS,AGE_GROUP_50,0.933,0.933
INDIA_CENSUS_2011,MUSLIMS,CHRISTIANS,0.0093,0.0093
INDIA_CENSUS_2011,MUSLIMS,SIKHS,-0.0827,0.0827
INDIA_CENSUS_2011,MUSLIMS,BUDDHISTS,0.1002,0.1002
INDIA_CENSUS_2011,MUSLIMS,JAINS,0.2027,0.2027
INDIA_CENSUS_2011,MUSLIMS,SECONDARY_EDUCATION,0.4711,0.4711
INDIA_CENSUS_2011,MUSLIMS,HIGHER_EDUCATION,0.4603,0.4603
INDIA_CENSUS_2011,MUSLIMS,GRADUATE_EDUCATION,0.4066,0.4066
INDIA_CENSUS_2011,MUSLIMS,AGE_GROUP_0_29,0.6778,0.6778
INDIA_CENSUS_2011,MUSLIMS,AGE_GROUP_30_49,0.6111,0.6111
INDIA_CENSUS_2011,MUSLIMS,AGE_GROUP_50,0.5737,0.5737
INDIA_CENSUS_2011,CHRISTIANS,SIKHS,-0.0393,0.0393
INDIA_CENSUS_2011,CHRISTIANS,BUDDHISTS,0.0279,0.0279
INDIA_CENSUS_2011,CHRISTIANS,JAINS,0.073,0.073
INDIA_CENSUS_2011,CHRISTIANS,SECONDARY_EDUCATION,0.2958,0.2958
INDIA_CENSUS_2011,CHRISTIANS,HIGHER_EDUCATION,0.2501,0.2501
INDIA_CENSUS_2011,CHRISTIANS,GRADUATE_EDUCATION,0.2859,0.2859
INDIA_CENSUS_2011,CHRISTIANS,AGE_GROUP_0_29,0.0278,0.0278
INDIA_CENSUS_2011,CHRISTIANS,AGE_GROUP_30_49,0.1486,0.1486
INDIA_CENSUS_2011,CHRISTIANS,AGE_GROUP_50,0.188,0.188
INDIA_CENSUS_2011,SIKHS,BUDDHISTS,-0.0284,0.0284
INDIA_CENSUS_2011,SIKHS,JAINS,-0.0083,0.0083
INDIA_CENSUS_2011,SIKHS,SECONDARY_EDUCATION,0.0426,0.0426
INDIA_CENSUS_2011,SIKHS,HIGHER_EDUCATION,0.0533,0.0533
INDIA_CENSUS_2011,SIKHS,GRADUATE_EDUCATION,0.0179,0.0179
INDIA_CENSUS_2011,SIKHS,AGE_GROUP_0_29,-0.0117,0.0117
INDIA_CENSUS_2011,SIKHS,AGE_GROUP_30_49,0.01,0.01
INDIA_CENSUS_2011,SIKHS,AGE_GROUP_50,0.0168,0.0168
INDIA_CENSUS_2011,BUDDHISTS,JAINS,0.3862,0.3862
INDIA_CENSUS_2011,BUDDHISTS,SECONDARY_EDUCATION,0.3895,0.3895
INDIA_CENSUS_2011,BUDDHISTS,HIGHER_EDUCATION,0.3995,0.3995
INDIA_CENSUS_2011,BUDDHISTS,GRADUATE_EDUCATION,0.3001,0.3001
INDIA_CENSUS_2011,BUDDHISTS,AGE_GROUP_0_29,0.2318,0.2318
INDIA_CENSUS_2011,BUDDHISTS,AGE_GROUP_30_49,0.2852,0.2852
INDIA_CENSUS_2011,BUDDHISTS,AGE_GROUP_50,0.2766,0.2766
INDIA_CENSUS_2011,JAINS,SECONDARY_EDUCATION,0.5871,0.5871
INDIA_CENSUS_2011,JAINS,HIGHER_EDUCATION,0.5632,0.5632
INDIA_CENSUS_2011,JAINS,GRADUATE_EDUCATION,0.5699,0.5699
INDIA_CENSUS_2011,JAINS,AGE_GROUP_0_29,0.4287,0.4287
INDIA_CENSUS_2011,JAINS,AGE_GROUP_30_49,0.4954,0.4954
INDIA_CENSUS_2011,JAINS,AGE_GROUP_50,0.4492,0.4492
INDIA_CENSUS_2011,SECONDARY_EDUCATION,HIGHER_EDUCATION,0.9749,0.9749
INDIA_CENSUS_2011,SECONDARY_EDUCATION,GRADUATE_EDUCATION,0.9164,0.9164
INDIA_CENSUS_2011,SECONDARY_EDUCATION,AGE_GROUP_0_29,0.8024,0.8024
INDIA_CENSUS_2011,SECONDARY_EDUCATION,AGE_GROUP_30_49,0.9023,0.9023
INDIA_CENSUS_2011,SECONDARY_EDUCATION,AGE_GROUP_50,0.8972,0.8972
INDIA_CENSUS_2011,HIGHER_EDUCATION,GRADUATE_EDUCATION,0.9357,0.9357
INDIA_CENSUS_2011,HIGHER_EDUCATION,AGE_GROUP_0_29,0.8106,0.8106
